© 2000-2022 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Cancer,Organismal Injury and Abnormalities	Neoplasia of tumor cell lines	6.69E-08	ADORA2A,ANGPTL4,CALHM6,CCL8,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,ENPP2,EREG,IL1B,IL27,IRF7,ISG15,PTGES,PTGS2,SNAI1,THBS1,VCAN,WFDC21P,WNT5A	22
Cell-To-Cell Signaling and Interaction	Immune response of myeloid cells	6.74E-08	ADORA2A,CD38,CXCL1,CXCL10,CXCL3,CXCL8,DDX58,HSH2D,IL1B,IRF4,ISG15,SIGLEC1,THBS1	13
Hematological Disease,Infectious Diseases,Organismal Injury and Abnormalities	Viral hemorrhagic fever	6.96E-08	CCL4,CCL5,CXCL1,CXCL10,CXCL8,ISG15,KCNJ5	7
Cellular Movement	Migration of tumor cell lines	7.39E-08	ANGPTL4,CCL19,CCL20,CCL4,CCL5,CCR7,CEMIP,CXCL10,CXCL13,CXCL2,CXCL5,CXCL8,DDX58,EBI3,EHF,ENPP2,EREG,FSIP1,IFIT2,IL1A,IL1B,ISG15,MDK,PAX5,PDPN,PTGS2,SNAI1,SOCS3,TNFAIP6,TNFSF10,VCAN,WFDC21P,WNT5A	33
Organismal Injury and Abnormalities,Renal and Urological Disease	Chronic kidney disease	7.41E-08	ADORA2A,CA12,CD80,CXCL8,IDO1,IL1A,IL1B,IL27,IL2RA,PDE4B,PTGIR,PTGS2,SLC2A6,SOCS2,WNT5A	15
Connective Tissue Disorders,Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Active stage juvenile rheumatoid arthritis	8.17E-08	CD80,IL1A,IL1B,JAK3,PDE4B	5
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Transmigration of dendritic cells	8.17E-08	CCL19,CCL4,CCL5,CCR7,IL1B	5
Infectious Diseases,Organismal Injury and Abnormalities	Infection by Flaviviridae	8.44E-08	CCL20,CCL4,CCL5,CCR7,CXCL10,CXCL8,DDX58,IFITM1,IL7R,ISG20,RSAD2	11
Cellular Function and Maintenance,Hematological System Development and Function	Function of myeloid cells	8.47E-08	AIM2,CCL5,CLEC4E,CXCL10,CXCL8,DDX58,IDO1,IL12B,IL1B,IL27,PTGS2,SLAMF1	12
Cellular Movement	Movement of hematopoietic cell lines	8.93E-08	CCL19,CCL4,CCL5,CCR7,CXCL13,CXCL3,CXCL8,SOCS2,WNT5A	9
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cell rolling of leukocytes	9.11E-08	CCR7,CXCL1,CXCL10,CXCL2,CXCL3,CXCL8,FPR2,IL1B	8
Organismal Injury and Abnormalities,Respiratory Disease	Acute lung injury	9.33E-08	ADORA2A,CCL5,CMPK2,CXCL10,CXCL8,IL1A,IL1B,JAK3,NAMPT,NCF1,PTGS2	11
Infectious Diseases,Organismal Injury and Abnormalities	Infection by Bacilli	9.58E-08	CA12,CXCL10,CXCL2,CXCL3,EBI3,IL12B,IL1B,NCF1,PTGS2	9
Cell-mediated Immune Response,Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Adhesion of T lymphocytes	9.58E-08	CCL19,CCL20,CCL4,CCR7,CD80,IL1B,IL7R,JAK3,THBS1	9
Cardiovascular System Development and Function,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Organismal Development,Tissue Development	Endothelial cell development	9.59E-08	ANGPTL4,CCR7,CXCL1,CXCL10,CXCL2,CXCL8,ENPP2,FPR2,IL1A,IL1B,MDK,PLXNA4,PTGIR,PTGS2,THBS1,TNFSF10,WNT5A	17
Cancer,Organismal Injury and Abnormalities	Growth of malignant tumor	9.84E-08	ADORA2A,CD70,CD80,CXCL1,CXCL3,CXCL5,CXCL8,HPN,IDO1,IL12B,IL1A,IL1B,IRF4,NKX3-1,PTGS2,SNAI1,SOCS3,THBS1,TNFSF10,WNT5A	20
Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Respiratory Disease	Inflammation of airway	9.85E-08	ADORA2A,CCL5,CRLF2,CXCL10,CXCL8,EBI3,FPR2,IL12B,IL1B,IL27,IL2RA,PDE4B,PDPN,PTGS2,SOCS2,SOCS3,WNT5A	17
Cell Signaling,Molecular Transport,Nucleic Acid Metabolism,Small Molecule Biochemistry	Concentration of cyclic AMP	1.01E-07	ADORA2A,ANGPTL4,CCL5,CXCL10,CXCL3,CXCL8,IL1A,IL1B,PTGIR,PTGS2,THBS1,WNT5A	12
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Priming of T lymphocytes	1.01E-07	CD38,CD80,IL12B,IL15RA,IL1B,IRF4,SIGLEC1	7
Cellular Development,Cellular Growth and Proliferation	Colony formation of cells	1.02E-07	ADAM19,CCL23,CCL4,CRLF2,CXCL3,CXCL8,EHF,EREG,HPN,IL1A,IL1B,ISG15,MDK,MT1X,NKX3-1,PAX5,PDPN,PTGES,PTGS2,SOCS2,TNFSF10,VCAN	22
Cell-To-Cell Signaling and Interaction,Inflammatory Response	Immune response of T lymphocytes	1.05E-07	CCR7,CD226,CXCL8,IL12B,IL1B,IL2RA,IL7R,ITGB8,NAMPT,SOCS3	10
Connective Tissue Disorders,Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Active rheumatoid arthritis	1.05E-07	CD80,IL1A,IL1B,JAK3,PDE4B,PTGS2	6
Cellular Movement	Chemotaxis of carcinoma cell lines	1.10E-07	CCL19,CCL4,CCL5,CXCL3,CXCL8	5
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cell movement of naive lymphocytes	1.10E-07	CCL19,CCL20,CCL4,CCR7,CXCL13	5
Cardiovascular Disease,Organismal Injury and Abnormalities	Atherosclerosis	1.10E-07	ADORA2A,ANGPTL4,CA12,CXCL10,CXCL2,EREG,IL1A,IL1B,KCNJ5,NCF1,PDE4B,PTGES,PTGIR,PTGS2,RSAD2,SOCS3,THBS1,TNFSF10,VCAN	19
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Attraction of memory T lymphocytes	1.12E-07	CCL4,CCL5,CXCL10,CXCL8	4
Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	Hemophagocytic lymphohistiocytosis	1.13E-07	CXCL2,CXCL3,IL1A,IL1B,IL2RA,SERPINB2,TNFSF10	7
Cell-To-Cell Signaling and Interaction	Communication of cells	1.14E-07	ADGRE1,ADORA2A,BTBD11,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD226,CD70,CRLF2,CXCL1,CXCL10,CXCL13,CXCL5,CXCL8,DDX58,FPR2,IFITM1,IL12B,IL1B,IL2RA,IL7R,JAK3,LAG3,MX1,NAMPT,PDPN,SIGLEC10,SLAMF1,SOCS2,SOCS3,TAMALIN,THBS1,TNFAIP6,TNFSF10,WNT5A	38
Cellular Movement	Migration of cancer cells	1.14E-07	CCL19,CCL5,CCR7,CXCL10,CXCL13,CXCL8,NKX3-1,PTGS2,SNAI1,THBS1,VCAN,WNT5A	12
Cancer,Organismal Injury and Abnormalities	Breast or pancreatic cancer	1.17E-07	ABTB2,ADAM19,ADGRE1,ADORA2A,AIM2,ANGPTL4,APOBEC3A,BTBD11,CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCL8,CCR7,CD300E,CD70,CD80,CEMIP,CFB,CMPK2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,ENPP2,EPSTI1,EREG,FPR2,G0S2,GFPT2,HAPLN3,HELZ2,HERC5,HPN,IDO1,IFI27,IFI44L,IFIT1,IFIT3,IFITM1,IL12B,IL1A,IL1B,IL2RA,IRF7,ITGB8,JAK3,LAD1,MCOLN2,MDK,MN1,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MX1,MYO1G,NAMPT,NSUN7,PDPN,PLAC8,PLXNA4,PRAME,PTGES,PTGS2,RSAD2,SIGLEC1,SLC1A2,SLC8A3,SLCO5A1,SNAI1,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,UNC13A,VCAN,WNT5A	87
Neurological Disease,Organismal Injury and Abnormalities	Progressive motor neuropathy	1.24E-07	ADORA2A,CCL5,CD38,CXCL1,EPSTI1,GCH1,IDO1,IFIT1,IL1A,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,KCNA2,LAG3,MN1,MX1,PDE4B,PTGS2,RSAD2,SLC1A2,UNC13A	24
Cellular Movement,Hematological System Development and Function	Mobilization of myeloid cells	1.25E-07	CCL4,CXCL10,CXCL2,CXCL3,CXCL8,IL1B	6
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Influx of neutrophils	1.27E-07	CCL4,CXCL1,CXCL2,CXCL5,IL1B,IRF4,IRF7	7
Cancer,Organismal Injury and Abnormalities	Malignant solid tumor	1.30E-07	ABTB2,ACOD1,ADAM19,ADGRE1,ADORA2A,AIM2,ANGPTL4,ANKRD22,ANKRD33B,APOBEC3A,APOL3,BCL2L14,BTBD11,C1QTNF1,C6orf223,CA12,CALHM6,CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EHF,ENPP2,EPSTI1,EREG,ETV7,FPR2,FSIP1,G0S2,GBP4,GBP5,GCH1,GFPT2,HAPLN3,HELZ2,HERC5,HESX1,HPN,HS3ST3B1,HSH2D,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,ITGB8,JAK3,KCNA2,KCNJ5,LAD1,LAG3,LAMP3,MAP1LC3A,MCOLN2,MDK,MN1,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MX1,MX2,MYO1G,NAMPT,NCF1,NKG7,NKX3-1,NSUN7,OASL,PANX2,PAX5,PDE4B,PDPN,PLAC8,PLXNA4,PRAME,PTGES,PTGIR,PTGS2,RSAD2,S100A12,SERPINB2,SIGLEC1,SIGLEC10,SLAMF1,SLC1A2,SLC2A6,SLC38A5,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TNIP3,TRAF1,UNC13A,VCAN,WFDC21P,WNT5A,XAF1,ZBP1	145
Cancer,Organismal Injury and Abnormalities	Carcinoma	1.32E-07	ABTB2,ACOD1,ADAM19,ADGRE1,ADORA2A,AIM2,ANGPTL4,ANKRD22,ANKRD33B,APOBEC3A,APOL3,BTBD11,C1QTNF1,C6orf223,CA12,CALHM6,CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EHF,ENPP2,EPSTI1,EREG,ETV7,FPR2,FSIP1,G0S2,GBP4,GBP5,GCH1,GFPT2,HAPLN3,HELZ2,HERC5,HESX1,HPN,HS3ST3B1,HSH2D,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,ITGB8,JAK3,KCNA2,KCNJ5,LAD1,LAG3,LAMP3,MAP1LC3A,MCOLN2,MDK,MN1,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MX1,MX2,MYO1G,NAMPT,NCF1,NKG7,NKX3-1,NSUN7,OASL,PANX2,PAX5,PDE4B,PDPN,PLXNA4,PRAME,PTGES,PTGIR,PTGS2,RSAD2,S100A12,SERPINB2,SIGLEC1,SIGLEC10,SLAMF1,SLC1A2,SLC2A6,SLC38A5,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TNIP3,TRAF1,UNC13A,VCAN,WNT5A,XAF1,ZBP1	142
Cancer,Organismal Injury and Abnormalities	Malignant neoplasm of retroperitoneum	1.37E-07	ABTB2,ADAM19,ADGRE1,ADORA2A,AIM2,BTBD11,CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCL8,CCR7,CD70,CEMIP,CMPK2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,ENPP2,EREG,HAPLN3,HELZ2,HERC5,IDO1,IFIT3,IFITM1,IL1A,IL1B,IL2RA,ITGB8,JAK3,MDK,MN1,MT1E,MT1G,MYO1G,NCF1,NSUN7,PDE4B,PLAC8,PLXNA4,PRAME,PTGES,PTGS2,S100A12,SERPINB2,SIGLEC1,SLC1A2,SLC8A3,SLCO5A1,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,UNC13A,VCAN,WNT5A	64
Cell-To-Cell Signaling and Interaction,Cellular Growth and Proliferation,Hematological System Development and Function	Stimulation of lymphocytes	1.39E-07	CCL19,CD70,CD80,CLEC4E,CXCL10,IL12B,IL1B,IL27,SLAMF1,TNFSF10	10
Cancer,Cellular Development,Cellular Growth and Proliferation,Organismal Injury and Abnormalities,Tumor Morphology	Proliferation of tumor cells	1.41E-07	CA12,CD70,CXCL1,CXCL3,CXCL8,GCH1,HPN,IDO1,IL1A,IL1B,IRF4,NKX3-1,PTGS2,SNAI1,SOCS3,THBS1,TNFSF10,VCAN,WNT5A	19
Cancer,Organismal Injury and Abnormalities	Primary solid tumor	1.43E-07	ADAM19,CCL19,CXCL13,CXCL8,DDX58,EBI3,IDO1,IFI27,IL1B,IL2RA,IRF4,JAK3,PLAC8,PRAME,PTGS2,SNAI1,VCAN,WNT5A	18
Infectious Diseases,Organismal Injury and Abnormalities	Replication of Murine herpesvirus 4	1.46E-07	CXCL10,CXCL3,DDX58,ISG20,MX2	5
Connective Tissue Disorders,Organismal Injury and Abnormalities,Tissue Morphology	Deterioration of connective tissue	1.46E-07	CD70,CD80,CFB,CXCL3,CXCL8,IL12B,IL1A,IL1B,NAMPT,PTGIR,PTGS2,TNFAIP6	12
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Cell movement of peripheral blood monocytes	1.48E-07	CCL19,CCL4,CCL5,CCL8,CXCL8,FPR2	6
Cellular Movement,Hematological System Development and Function,Hypersensitivity Response,Immune Cell Trafficking	Migration of eosinophils	1.48E-07	CCL4,CCL5,CXCL10,CXCL2,CXCL8,IL1B	6
Cellular Movement	Mobilization of cells	1.54E-07	CCL20,CCL4,CXCL10,CXCL2,CXCL3,CXCL8,IL1B,SOCS3	8
Tissue Morphology	Quantity of progenitor cells	1.54E-07	CCR7,CD226,CD70,CD80,CRLF2,CXCL8,IL12B,IL15RA,IL1A,IL1B,IL7R,IRF4,JAK3,LAG3,SOCS3,STAT4,THBS1,WNT5A	18
Cancer,Endocrine System Disorders,Gastrointestinal Disease,Organismal Injury and Abnormalities	Pancreatic tumor	1.54E-07	ABTB2,ADGRE1,AIM2,APOBEC3A,BTBD11,CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCL8,CCR7,CD70,CEMIP,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,ENPP2,EREG,GBP4,HELZ2,HERC5,IDO1,IFITM1,IL1A,IL1B,ITGB8,JAK3,MDK,MN1,MT1G,MYO1G,NSUN7,PLAC8,PLXNA4,PTGES,PTGS2,SIGLEC1,SLC1A2,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFSF10,UNC13A,VCAN,WNT5A	56
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	Disorder of basal ganglia	1.61E-07	ADGRE1,ADORA2A,CA12,CCL4,CCL5,CD38,CXCL10,DDX58,ENPP2,GCH1,IDO1,IFIT3,IL1A,IL1B,IRF7,ISG15,JAK3,MT1E,MT1G,MT1H,MT1M,MT1X,MT2A,PDE4B,PTGS2,SLC1A2,VCAN,ZBP1	28
Cancer,Organismal Injury and Abnormalities	Nonhematologic malignant neoplasm	1.73E-07	ABTB2,ACOD1,ADAM19,ADGRE1,ADORA2A,AIM2,ANGPTL4,ANKRD22,ANKRD33B,APOBEC3A,APOL3,BCL2L14,BTBD11,C1QTNF1,C6orf223,CA12,CALHM6,CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EHF,ENPP2,EPSTI1,EREG,ETV7,FPR2,FSIP1,G0S2,GBP4,GBP5,GCH1,GFPT2,HAPLN3,HELZ2,HERC5,HESX1,HPN,HS3ST3B1,HSH2D,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,ITGB8,JAK3,KCNA2,KCNJ5,LAD1,LAG3,LAMP3,MAP1LC3A,MCOLN2,MDK,MN1,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,MX1,MX2,MYO1G,NAMPT,NCF1,NKG7,NKX3-1,NSUN7,OASL,PANX2,PAX5,PDE4B,PDPN,PLXNA4,PRAME,PTGES,PTGIR,PTGS2,RSAD2,S100A12,SERPINB2,SIGLEC1,SIGLEC10,SLAMF1,SLC1A2,SLC2A6,SLC38A5,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TNIP3,TRAF1,UNC13A,VCAN,WNT5A,XAF1,ZBP1	143
Immunological Disease,Organismal Injury and Abnormalities	Primary immunodeficiency disorder	1.82E-07	CD70,IFI27,IFIT1,IL12B,IL2RA,IL7R,IRF4,JAK3,MX1,NCF1,NCF1C	11
Digestive System Development and Function,Gastrointestinal Disease,Hepatic System Development and Function,Hepatic System Disease,Infectious Diseases,Inflammatory Disease,Inflammatory Response,Organ Development,Organismal Injury and Abnormalities	Viral hepatitis	1.82E-07	CCL20,CCL4,CCL5,CCR7,CXCL10,CXCL8,DDX58,GBP5,IL1B,IL2RA,IL7R	11
Cancer,Organismal Injury and Abnormalities	Abdominal carcinoma	1.83E-07	ABTB2,ACOD1,ADAM19,ADGRE1,ADORA2A,AIM2,ANGPTL4,ANKRD22,ANKRD33B,APOBEC3A,APOL3,BTBD11,C1QTNF1,C6orf223,CA12,CALHM6,CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCL8,CCR7,CD300E,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EHF,ENPP2,EPSTI1,EREG,ETV7,FPR2,FSIP1,GBP4,GBP5,GCH1,GFPT2,HAPLN3,HELZ2,HERC5,HESX1,HPN,HS3ST3B1,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ITGB8,JAK3,KCNA2,KCNJ5,LAD1,LAG3,LAMP3,MAP1LC3A,MCOLN2,MDK,MN1,MT1E,MT1G,MT1H,MT1M,MT1X,MT2A,MX1,MX2,MYO1G,NAMPT,NCF1,NKG7,NKX3-1,NSUN7,OASL,PANX2,PAX5,PDE4B,PDPN,PLXNA4,PRAME,PTGES,PTGIR,PTGS2,S100A12,SERPINB2,SIGLEC1,SIGLEC10,SLAMF1,SLC1A2,SLC2A6,SLC38A5,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TNIP3,TRAF1,UNC13A,VCAN,WNT5A,XAF1,ZBP1	135
Gastrointestinal Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	Severe enteritis	1.91E-07	CCR7,CD80,IL12B,JAK3,PTGS2	5
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemoattraction of neutrophils	1.91E-07	CXCL1,CXCL10,CXCL3,CXCL5,CXCL8	5
Cellular Movement,Skeletal and Muscular System Development and Function	Migration of airway smooth muscle cells	2.01E-07	CXCL1,CXCL2,CXCL3,CXCL8	4
Lipid Metabolism,Small Molecule Biochemistry	Conversion of prostaglandin h2	2.01E-07	CYP2E1,IL1B,PTGES,PTGS2	4
Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Renal and Urological Disease	Systemic lupus erythematosus nephritis	2.03E-07	CD80,EPSTI1,HERC5,IRF7,ISG20,PTGS2	6
Neurological Disease,Organismal Injury and Abnormalities	Neurological signs	2.03E-07	ADGRE1,ADORA2A,CA12,CCL4,CCL5,CD38,CXCL10,DDX58,ENPP2,IDO1,IFIT3,IL15RA,IRF7,ISG15,KCNA2,MN1,MT1E,MT1G,MT1H,MT1M,MT1X,MT2A,PTGES,PTGS2,SLC1A2,VCAN,ZBP1	27
Cancer,Organismal Injury and Abnormalities	Adenocarcinoma	2.12E-07	ABTB2,ADAM19,ADGRE1,ADORA2A,AIM2,ANGPTL4,ANKRD22,ANKRD33B,APOBEC3A,APOL3,BTBD11,C1QTNF1,C6orf223,CA12,CALHM6,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD300E,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CLEC4E,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EHF,ENPP2,EPSTI1,EREG,FPR2,FSIP1,G0S2,GBP4,GBP5,GFPT2,HAPLN3,HELZ2,HERC5,HESX1,HPN,HS3ST3B1,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ITGB8,JAK3,KCNA2,KCNJ5,LAD1,LAG3,LAMP3,MAP1LC3A,MCOLN2,MDK,MN1,MT1E,MT1F,MT1G,MT1H,MT1X,MT2A,MX1,MX2,MYO1G,NAMPT,NCF1,NKG7,NKX3-1,NSUN7,PANX2,PAX5,PDE4B,PDPN,PLXNA4,PRAME,PTGES,PTGIR,PTGS2,RSAD2,S100A12,SERPINB2,SIGLEC1,SIGLEC10,SLAMF1,SLC1A2,SLC2A6,SLC38A5,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TNIP3,TRAF1,UNC13A,VCAN,WNT5A,XAF1,ZBP1	132
Cardiovascular Disease,Organismal Injury and Abnormalities	Vascular lesion	2.37E-07	ADORA2A,ANGPTL4,CXCL10,CXCL2,IDO1,IL1A,IL1B,NCF1,PTGES,PTGS2,S100A12,SOCS3,THBS1,TNFSF10,VCAN	15
Cell Death and Survival,Organismal Injury and Abnormalities	Cell viability of phagocytes	2.44E-07	CCL4,CCR7,CD38,IL1B,IRF4,MX1,SERPINB2,TNFSF10,WNT5A	9
Inflammatory Disease,Organismal Injury and Abnormalities,Respiratory Disease	Acute respiratory distress syndrome	2.44E-07	CCL5,CMPK2,CXCL10,CXCL8,IL1A,IL1B,JAK3,NAMPT,PTGS2	9
Cellular Movement	Emigration of cells	2.46E-07	CCL19,CCR7,CXCL1,CXCL2,CXCL3,FPR2,IL1B	7
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Inflammatory Response	Immune response of neutrophils	2.50E-07	ADORA2A,CCL20,CCL4,CXCL1,CXCL10,CXCL3,CXCL8,THBS1	8
Cardiovascular Disease,Organismal Injury and Abnormalities	Occlusion of artery	2.66E-07	ADORA2A,ANGPTL4,CA12,CXCL10,CXCL2,CXCL8,EREG,IL1A,IL1B,KCNJ5,NCF1,PDE4B,PTGES,PTGIR,PTGS2,RSAD2,SOCS3,THBS1,TNFSF10,VCAN	20
Cellular Development,Cellular Growth and Proliferation	Proliferation of leukemia cell lines	2.69E-07	CRLF2,IL15RA,IL1A,IL1B,IL2RA,JAK3,NKX3-1,PAX5,PRAME,PTGS2,SERPINB2,SOCS3,TNFSF10,WNT5A	14
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	Peripheral T-cell lymphoma	2.70E-07	ADAM19,C1QTNF1,CCL19,CCL20,CCR7,CXCL13,IFI44L,IFIT2,IFIT3,IL2RA,ISG15,JAK3,LAD1	13
Cell-mediated Immune Response,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development	Differentiation of Th2 cells	2.70E-07	CCL5,CD80,IL12B,IRF4,JAK3,RSAD2,SOCS2,STAT4	8
Connective Tissue Disorders,Dermatological Diseases and Conditions,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Psoriatic arthritis	2.70E-07	CD80,CXCL8,IL12B,IL1B,JAK3,PDE4B,PTGS2,S100A12	8
Gastrointestinal Disease,Hepatic System Disease,Organismal Injury and Abnormalities	Fibrosis of liver	2.73E-07	ADORA2A,CCL4,CCL8,CCR7,CD38,CD80,CXCL8,GBP5,IL1A,IL7R,NAMPT,NCF1,SOCS3,TNFSF10,WNT5A	15
Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response,Tissue Development	Accumulation of granulocytes	2.94E-07	CCL5,CXCL1,CXCL10,CXCL2,CXCL3,CXCL8,IL1B,NCF1,TNFSF10	9
Cancer,Hematological Disease,Organismal Injury and Abnormalities	Growth of hematological system tumor	2.94E-07	CD70,CD80,IL1A,IL1B,IRF4,NKX3-1,PTGS2,TNFSF10,WNT5A	9
Connective Tissue Disorders,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Spondylitis	2.94E-07	CD80,IL12B,IL1B,JAK3,PAX5,PTGS2,S100A12,SLC1A2,TNFSF10	9
Embryonic Development,Organismal Development	Development of body trunk	2.99E-07	ADAM19,C1QTNF1,CCL19,CCL5,CCR7,CD38,CD80,CXCL10,CXCL13,CXCL3,EREG,HPN,HS3ST3B1,IL12B,IL1A,IL1B,IL27,IL7R,JAK3,MDK,NCF1,NKX3-1,PAX5,PDPN,PTGES,PTGS2,SNAI1,SOCS2,SOCS3,THBS1,TNFSF10,VCAN,WNT5A	33
Cellular Movement	Invasion of cells	3.08E-07	ANGPTL4,CCL19,CCR7,CD226,CXCL1,CXCL10,CXCL2,CXCL5,CXCL8,DDX58,ENPP2,EPSTI1,EREG,FSIP1,GFPT2,HPN,IFIT2,IFITM1,IL1B,ISG15,ITGB8,MDK,MX1,NAMPT,PAX5,PTGS2,S100A12,SNAI1,THBS1,TNFAIP6,TNFSF10,VCAN,WFDC21P,WNT5A	34
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemotaxis of macrophages	3.12E-07	CCL4,CCL5,CXCL10,FPR2,IL12B,MDK,PTGES,SLAMF1,THBS1	9
